Boiler Model,Burner Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Age range of boiler,Is boiler dual fuel capable?,Primary Fuel,Total Estimated Cosumption - Low Estimate (Gallons) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,Total area of buildings on lot,Number of floors,Number of total units,Year constructed
ROCKMILLS MP70,ICI DEG42YP,1,2.8,1982,26—30,Not Dual,#6,41493,No,0,Cultural & Public Assembly,46800,5,42,1929
ROCKMILLS MP70,ICI DEG 42YP,1,2.84,1990,16—20,Not Dual,#6,21000,No,0,Elevator Apartments,31320,6,40,1962
ROCKMILLS MP70,ICI DEG 42YP,1,2.84,1987,21—26,Not Dual,#6,22400,No,0,Office Buildings,38388,7,48,1952
ROCKMILLS MP70,ICI MMG30,1,2.9,1989,21—26,Not Dual,#4,17500,No,0,Educational Structures,32000,6,37,1941
ROCKMILLS MP70,ICI MMG34-P,1,2.9,1984,26—30,Not Dual,#4,17500,No,0,Walk-Up Apartments,38500,6,43,1930
ROCKMILLS MP70,ICI MMG30,1,2.9,1989,21—26,Not Dual,#4,21000,No,0,Elevator Apartments,28745,6,37,1923
ROCKMILLS MP70,ICI MMG 30,1,2.94,1986,21—26,Not Dual,#4,19600,No,0,Factory & Industrial Buildings,38500,5,40,1930
ROCKMILLS MP70,HEVEOIL AM 4 3/4DH,1,3,1976,31—35,Not Dual,#4,20300,No,0,Walk-Up Apartments,29520,5,36,1922
ROCKMILLS MP70,ICI AM 4 34 CM,1,3,1977,31—35,Not Dual,#4,21462,No,0,Office Buildings,41736,6,54,1928
ROCKMILLS MP70,ICI DE42Y,1,3.1,1977,31—35,Not Dual,#6,22820,No,0,Walk-Up Apartments,35734,12,35,1924
ROCKMILLS MP70,HEV-E-OIL AM5CM,1,3.1,1976,31—35,Not Dual,#4,22893,No,0,Elevator Apartments,16448,6,25,1920
ROCKMILLS MP70,IRON FIREMAN AD-6-4.5,1,4.2,1967,41—45,Not Dual,#6,21000,No,0,Elevator Apartments,31878,6,36,1926
ROCKMILLS MP80,ICI DEG42P,1,1,1985,21—26,Not Dual,#6,21000,Yes,2018,Elevator Apartments,38604,4,43,1930
ROCKMILLS MP80,ICI DEG 42P,1,1,1985,21—26,Not Dual,#6,21000,Yes,2022,Elevator Apartments,52000,6,50,1929
ROCKMILLS MP80,HEVE MMG 34P,1,3.08,1989,21—26,Not Dual,#4,22995,Yes,2016,Elevator Apartments,67500,6,38,1915
ROCKMILLS MP80,ICI MMG34P,1,3.1,1989,21—26,Not Dual,#4,14700,No,0,Elevator Apartments,39654,6,43,1936
ROCKMILLS MP80,ICI MMG34P,1,3.1,1989,21—26,Not Dual,#4,16800,No,0,Elevator Apartments,33120,11,11,1904
ROCKMILLS MP80,RAY PAEOR 144 SIZE 80,1,3.1,1979,31—35,Not Dual,#6,17500,No,0,Elevator Apartments,42783,6,49,1925
ROCKMILLS MP80,HEVE MMG 34 P,1,3.1,1987,21—26,Not Dual,#4,22995,No,0,Elevator Apartments,27147,6,47,1900
ROCKMILLS MP80,I.C.I. MEG-34P,1,3.1,1986,21—26,Not Dual,#6,22995,Yes,2015,Walk-Up Apartments,55120,9,57,1926
ROCKMILLS MP80,I.C.I. DEG 42 P,1,3.27,1992,16—20,Not Dual,#6,21000,No,0,Walk-Up Apartments,31462,5,41,1916
ROCKMILLS MP80,ICI MEG 34P,1,3.27,1991,16—20,Not Dual,#6,21000,No,0,Elevator Apartments,38911,6,47,1932
ROCKMILLS MP80,ICI DEG 42YP,1,3.28,1990,16—20,Not Dual,#6,21000,No,0,Condominiums,16999,6,31,1910
ROCKMILLS MP80,ICI MEG 34P,1,3.28,1989,21—26,Not Dual,#6,24500,No,0,Walk-Up Apartments,49242,6,60,1928
ROCKMILLS MP80,ICI MEG 34P,1,3.28,1990,16—20,Not Dual,#6,28000,Yes,2015,Elevator Apartments,52378,6,52,1920
ROCKMILLS MP80,ICI MMG34P,1,3.3,1982,26—30,Not Dual,#4,10500,No,0,Elevator Apartments,34329,3,45,1949
ROCKMILLS MP80,ICI MEG34P,1,3.3,1985,21—26,Not Dual,#6,21000,No,0,Elevator Apartments,36390,5,49,1929
ROCKMILLS MP80,ICI DE42Y,1,3.3,1978,31—35,Not Dual,#6,23870,No,0,Walk-Up Apartments,38934,6,42,1934
ROCKMILLS MP80,ICI MEG 34P,1,3.3,1988,21—26,Not Dual,#6,25039,No,0,Elevator Apartments,43602,6,48,1940
ROCKMILLS MP80,ICI MEG34P,1,3.3,1982,26—30,Not Dual,#6,28000,No,0,Elevator Apartments,37365,5,58,1925
ROCKMILLS MP80,ICI MMG (30),1,3.36,1991,16—20,Not Dual,#4,12600,No,0,Condominiums,45240,12,18,1908
ROCKMILLS MP80,IRON FIREMAN A06-4.2RK,1,3.36,1990,16—20,Not Dual,#4,17500,No,0,Elevator Apartments,38094,6,41,1928
ROCKMILLS MP80,ICI MMG 34P,1,3.36,1985,21—26,Not Dual,#4,21000,No,0,Walk-Up Apartments,46475,6,50,1922
ROCKMILLS MP80,ICI MMG 34P,1,3.4,1988,21—26,Not Dual,#4,15400,No,0,Walk-Up Apartments,45934,6,42,1940
ROCKMILLS MP80,ICI MMG34P,1,3.4,1985,21—26,Not Dual,#4,17500,No,0,Elevator Apartments,41610,6,43,1937
ROCKMILLS MP80,ICI MMG 42P,1,3.4,1980,26—30,Not Dual,#4,20580,No,0,Elevator Apartments,44310,6,48,1950
ROCKMILLS MP80,ICI MMG 34P,1,3.4,1988,21—26,Not Dual,#4,21000,No,0,Walk-Up Apartments,19250,5,1,1915
ROCKMILLS MP80,ICI MEG 34P,1,3.4,1985,21—26,Not Dual,#6,21000,No,0,Residence - Multi-Use,48702,6,51,1956
ROCKMILLS MP80,ICI DEG 42 P,1,3.4,1982,26—30,Not Dual,#6,21000,No,0,Elevator Apartments,34514,9,28,1911
ROCKMILLS MP80,ICI DEG 42P,1,3.4,1984,26—30,Not Dual,#6,21000,No,0,Walk-Up Apartments,43632,6,42,1920
ROCKMILLS MP80,ICI DEG 42P,1,3.4,1982,26—30,Not Dual,#6,21000,No,0,Elevator Apartments,31674,6,24,1910
ROCKMILLS MP80,ICI DEG 42P,1,3.4,1985,21—26,Not Dual,#6,22400,No,0,Walk-Up Apartments,45405,6,48,1929
ROCKMILLS MP80,HEVE MMG34P,1,3.4,1989,21—26,Not Dual,#4,22995,Yes,2018,Elevator Apartments,53427,9,45,1927
ROCKMILLS MP80,ICI DEG 42P,1,3.4,1983,26—30,Not Dual,#6,23100,No,0,Walk-Up Apartments,41200,6,49,1930
ROCKMILLS MP80,ICI DEG 42P,1,3.4,1982,26—30,Not Dual,#6,23100,Yes,2017,Elevator Apartments,54000,6,49,1932
ROCKMILLS MP80,ICI-DEG42,1,3.4,1985,21—26,Not Dual,#6,24500,No,0,Elevator Apartments,37960,5,41,1922
ROCKMILLS MP80,ICI MMG 34P,1,3.4,1986,21—26,Not Dual,#4,24500,No,0,Elevator Apartments,42650,5,51,1925
ROCKMILLS MP80,ICI MEG 34P,1,3.4,1986,21—26,Not Dual,#6,24500,No,0,Walk-Up Apartments,33900,5,48,1922
ROCKMILLS MP80,ICI DEG 42P,1,3.4,1984,26—30,Not Dual,#6,24500,No,0,Walk-Up Apartments,37100,5,51,1927
ROCKMILLS MP80,ICI MEG34P,1,3.4,1984,26—30,Not Dual,#6,24500,No,0,Elevator Apartments,30400,4,42,1926
ROCKMILLS MP80,ICI DE42,1,3.4,1985,21—26,Not Dual,#6,24500,No,0,Elevator Apartments,44911,6,49,1941
ROCKMILLS MP80,ICI MMG42P,1,3.4,1985,21—26,Not Dual,#4,24500,No,0,Elevator Apartments,22195,5,27,1911
ROCKMILLS MP80,ICI DEG 42P,1,3.4,1983,26—30,Not Dual,#6,28000,No,0,Elevator Apartments,45090,5,50,1924
ROCKMILLS MP80,ICI MEG34P,1,3.4,1985,21—26,Not Dual,#4,28000,No,0,Walk-Up Apartments,45000,6,49,1953
ROCKMILLS MP80,ICI MMG 34P,1,3.4,1984,26—30,Not Dual,#4,28000,No,0,Office Buildings,23500,4,26,1931
ROCKMILLS MP80,ICI DEG 42P,1,3.4,1982,26—30,Not Dual,#6,31500,No,0,Office Buildings,47000,5,46,1927
ROCKMILLS MP80,ICI DEG42P,1,3.4,1984,26—30,Not Dual,#6,31500,No,0,Condominiums,32900,5,48,1923
ROCKMILLS MP80,ICI MMG-34,1,3.43,1989,21—26,Not Dual,#4,21000,No,0,Walk-Up Apartments,35420,5,36,1925
ROCKMILLS MP80,ICI DEG 42 P,1,3.43,1987,21—26,Not Dual,#6,21000,No,0,Elevator Apartments,33225,5,44,1924
ROCKMILLS MP80,ICI MMG 42P,1,3.43,1989,21—26,Not Dual,#4,28000,No,0,Elevator Apartments,48000,5,45,1925
ROCKMILLS MP80,I C I DEG 42P,1,3.43,1984,26—30,Not Dual,#6,28169,No,0,Elevator Apartments,42115,6,49,1938
ROCKMILLS MP80,ICI DEG 42P,1,3.43,1985,21—26,Not Dual,#4,50078,No,0,Walk-Up Apartments,41306,10,39,1924
ROCKMILLS MP80,ICI DEG 42P,1,3.79,1984,26—30,Not Dual,#6,21000,No,0,Walk-Up Apartments,44400,6,48,1928
ROCKMILLS MP80  (EXG),ICI MMG 34P (NEW),1,3.43,1990,16—20,Not Dual,#4,26204,No,0,Elevator Apartments,36400,4,49,1925
ROCKMILLS MP80SS,ICI DEG-42Y (P),1,3.3,1989,21—26,Not Dual,#6,25039,No,0,Elevator Apartments,43840,6,42,1931
ROCKMILLS MP80SS,ICI MMG 30,1,3.4,1985,21—26,Not Dual,#4,21000,No,0,Elevator Apartments,38130,6,41,1932
ROCKMILLS MP90,INDS COMB INC DE42YS,1,2.8,1978,31—35,Not Dual,#6,22412,No,0,Condominiums,35136,6,42,1930
ROCKMILLS MP90,HEVEOIL MEG42P,1,2.9,1983,26—30,Not Dual,#6,21462,No,0,Office Buildings,47636,4,58,1928
ROCKMILLS MP90,HEV-E-OIL AM6E,1,3.1,1972,36—40,Not Dual,#6,22484,No,0,Walk-Up Apartments,48000,5,43,1931
ROCKMILLS MP90,ICI DEG42P,1,3.3,1981,26—30,Not Dual,#6,26600,Yes,2013,Walk-Up Apartments,59210,12,51,1911
ROCKMILLS MP90,ICI MMG 42P,1,3.4,1979,31—35,Not Dual,#4,23800,No,0,Walk-Up Apartments,47054,6,52,1924
ROCKMILLS MP90,HEV-E-OIL AM6E,1,3.5,1975,31—35,Not Dual,#4,24353,No,0,Elevator Apartments,42373,5,50,1917
ROCKMILLS MP90,ICI MEG 42P,1,3.5,1985,21—26,Not Dual,#6,28000,No,0,Walk-Up Apartments,46837,6,49,1931
ROCKMILLS MP90,ICI DEG 42P,1,3.57,1989,21—26,Not Dual,#6,24500,No,0,Office Buildings,39578,6,37,1920
ROCKMILLS MP90,ICI DEG 42P,1,3.57,1985,21—26,Not Dual,#6,28000,No,0,Walk-Up Apartments,42170,5,49,1930
ROCKMILLS MP90,ICI DEG42P,1,3.6,1986,21—26,Not Dual,#6,17500,No,0,Walk-Up Apartments,48083,6,50,1929
ROCKMILLS MP90,INDS COMB INC DEG42P,1,3.6,1983,26—30,Not Dual,#4,17500,No,0,Walk-Up Apartments,40003,6,61,1930
ROCKMILLS MP90,ICI DEG 42P,1,3.6,1983,26—30,Not Dual,#6,18900,No,0,Elevator Apartments,45000,5,49,1924
ROCKMILLS MP90,ICI MEG 42P,1,3.6,1984,26—30,Not Dual,#6,21000,No,0,Walk-Up Apartments,40135,6,42,1923
ROCKMILLS MP90,ICI DEG42P,1,3.6,1983,26—30,Not Dual,#6,24500,No,0,Elevator Apartments,40770,6,49,1930
ROCKMILLS MP90,HEV-E-OIL DEG 42-P,1,3.6,1984,26—30,Not Dual,#6,24500,No,0,Hotels,45330,5,56,1930
ROCKMILLS MP90,I C I -DEG42P,1,3.6,1985,21—26,Not Dual,#6,24500,Yes,2020,Office Buildings,54000,6,49,1928
ROCKMILLS MP90,ICI - DEG42P,1,3.6,1985,21—26,Not Dual,#6,24500,Yes,2020,Elevator Apartments,63836,6,48,1927
ROCKMILLS MP90,ICI DEG42P,1,3.6,1984,26—30,Not Dual,#6,25900,Yes,2013,Educational Structures,51840,6,43,1929
ROCKMILLS MP90,ICI DEG42P,1,3.6,1983,26—30,Not Dual,#6,26061,Yes,2016,Elevator Apartments,58000,6,55,1925
ROCKMILLS MP90,ICI DEG 42P,1,3.6,1985,21—26,Not Dual,#6,26600,No,0,Elevator Apartments,39655,5,54,1923
ROCKMILLS MP90,ICI DEG42P,1,3.6,1984,26—30,Not Dual,#6,26600,No,0,Walk-Up Apartments,46080,6,49,1931
ROCKMILLS MP90,ICI DEG42.P,1,3.6,1985,21—26,Not Dual,#6,26600,No,0,Walk-Up Apartments,43911,6,43,1930
ROCKMILLS MP90,ICI DEG-42P,1,3.6,1982,26—30,Not Dual,#6,28000,No,0,Walk-Up Apartments,46650,5,45,1922
ROCKMILLS MP90,ICI DEG42P,1,3.6,1983,26—30,Not Dual,#6,28000,Yes,2021,Walk-Up Apartments,63636,6,54,1940
ROCKMILLS MP90,ICI MMG42P,1,3.7,1989,21—26,Not Dual,#4,15050,No,0,Elevator Apartments,49000,6,42,1936
ROCKMILLS MP90,ICI MMG 42P,1,3.7,1990,16—20,Not Dual,#4,21000,Yes,2020,Elevator Apartments,59000,6,59,1941
ROCKMILLS MP90,ICI MMG42P,1,3.7,1985,21—26,Not Dual,#4,28000,No,0,Elevator Apartments,40189,5,53,1924
ROCKMILLS MP90,ICI MMG 42P,1,3.72,1989,21—26,Not Dual,#4,21000,No,0,Walk-Up Apartments,43750,6,49,1920
ROCKMILLS MP90,ICI MMG42P,1,3.72,1990,16—20,Not Dual,#4,21000,No,0,Elevator Apartments,42045,5,52,1923
ROCKMILLS MP90,ICI MMG42P,1,3.72,1989,21—26,Not Dual,#4,22400,No,0,Elevator Apartments,36360,4,44,1924
ROCKMILLS MP90,I.C.I. MMG 42P,1,3.72,1992,16—20,Not Dual,#4,22400,Yes,2016,Elevator Apartments,53583,6,48,1920
ROCKMILLS MP90,ICI MMG42,1,3.72,1990,16—20,Not Dual,#4,24500,Yes,2015,Elevator Apartments,50000,6,48,1928
ROCKMILLS MP90,HEVE MMG42P,1,3.72,1989,21—26,Not Dual,#4,28744,No,0,Elevator Apartments,42500,6,50,1937
ROCKMILLS MP90,ICI DEG 42P,1,3.79,1990,16—20,Not Dual,#6,24500,No,0,Elevator Apartments,40206,6,36,1920
ROCKMILLS MP90,ICI DEG 42P,1,3.79,1989,21—26,Not Dual,#6,28000,No,0,Elevator Apartments,37721,6,57,1948
ROCKMILLS MP90,ICI DE42S,1,3.8,1977,31—35,Not Dual,#6,13895,No,0,Elevator Apartments,49110,6,57,1927
ROCKMILLS MP90,ICI AMG-6,1,3.9,1979,31—35,DUAL FUEL,#4,20891,Yes,2018,Elevator Apartments,53968,12,13,1916
ROCKMILLS MP90,IRON FIREMAN A06-4.2RK,1,3.9,1979,31—35,Not Dual,#6,28744,Yes,2020,Elevator Apartments,57302,9,42,1930
ROCKMILLS MP90 SL,ICI MMG42P,1,3.72,1988,21—26,Not Dual,#4,28000,No,0,Walk-Up Apartments,42000,6,46,1907
ROCKMILLS MP90SS,ICI DEG42P,1,3.57,1984,26—30,Not Dual,#6,28000,Yes,2019,Elevator Apartments,55000,5,54,1926
ROCKMILLS R 103,ACE DPGH 25,1,2.1,1964,46—50,Not Dual,#4,15400,Yes,2020,Walk-Up Apartments,55463,8,41,1931
ROCKMILLS R 182,PETRO WD 6 AH,1,7,1968,41—45,Not Dual,#6,39200,Yes,2016,Elevator Apartments,69280,12,46,1911
ROCKMILLS R 60,PETRO WD 3 AH,1,1.9,1973,36—40,Not Dual,#4,17348,No,0,Elevator Apartments,30425,6,31,1925
ROCKMILLS R-151,ICI DEG 54 S,1,5.3,1989,21—26,Not Dual,#6,40242,Yes,2017,Walk-Up Apartments,68992,7,52,1902
ROCKMILLS R-182,INDUSTRIAL COMBUSTION DEG-63(P),1,6.3,1986,21—26,Not Dual,#6,48111,Yes,2016,Elevator Apartments,81000,6,112,1926
ROCKMILLS R-31,HEV-E-OIL AL3C,1,1.1,1959,50--,Not Dual,#4,8176,No,0,Elevator Apartments,10302,6,24,1900
ROCKMILLS R-54,HEV-E-OIL AM4-DH,1,2,1983,26—30,Not Dual,#4,14819,No,0,Utility Bureau,25500,6,37,1915
ROCKMILLS R-60,HEVE OIL AM4DH,1,1.8,1973,36—40,Not Dual,#4,20440,No,0,Elevator Apartments,19450,5,29,1910
ROCKMILLS R-72,I.C.I. MMG-30,1,2.6,1988,21—26,Not Dual,#4,280000,Yes,2013,Elevator Apartments,53298,8,29,1909
ROCKMILLS R-85,ICI AM6E,1,3.1,1969,41—45,Not Dual,#6,26530,No,0,Elevator Apartments,34385,6,39,1920
ROCKMILLS R-85,INDUSTRIAL COMBUSTION #ME-34S,1,3.14,1980,26—30,Not Dual,#6,25228,No,0,Walk-Up Apartments,25913,5,30,1915
ROCKMILLS R-85,HEV-E-OIL AM 5 CM,1,3.4,1977,31—35,Not Dual,#4,16416,No,0,Walk-Up Apartments,28617,9,37,1927
ROCKMILLS R303,RAY SIZE 200 PAECR 144,1,7.8,1988,21—26,Not Dual,#4,57487,Yes,2016,Condominiums,138748,12,0,1908
ROCKMILLS R425,YORK D55-400,1,12.6,1973,36—40,Not Dual,#6,114975,Yes,2017,Condominiums,210700,20,60,1927
ROCKMILLS R60,HEV-E-OIL AM4DH,1,1.54,1973,36—40,Not Dual,#4,14052,No,0,Loft Buildings,24840,6,48,1924
ROCKMILLS-   MP 50,ICI-  MMG 22,1,1.67,2002,5—10,DUAL FUEL,#4,11115,No,0,Walk-Up Apartments,38250,6,36,1936
ROCKMILLS-MP  200 SS (NEW),S.T.JOHNSON   FD68CA200HM (NEW),1,6.69,2003,5—10,DUAL FUEL,#6,45360,Yes,2013,Elevator Apartments,179142,15,3,1925
ROCKMILLS-MP 100,ICI  DEG-42 P,1,3.5,1979,31—35,Not Dual,#6,132222,Yes,2022,Elevator Apartments,61344,14,40,1922
ROCKMILLS-MP 125,HEV-E-OIL DE-54-S,1,5.3,1978,31—35,Not Dual,#6,38325,Yes,2013,Office Buildings,147400,5,117,1923
ROCKMILLS-MP 150,SUPERIOR-AB 100,1,6,1974,36—40,Not Dual,#6,45420,Yes,2018,Elevator Apartments,85942,13,38,1916
ROCKMILLS-MP 200 (NEW),S.T.JOHNSON-FD 68 CAHM SIZE 200 (EXTSG),1,6.69,2003,5—10,DUAL FUEL,#6,63237,Yes,2020,Office Buildings,267008,16,286,1958
ROCKMILLS-MP 90,INDUSTRIAL COMBUSTION-MEG-42(P),1,3.8,1982,26—30,Not Dual,#6,29153,No,0,Cultural & Public Assembly,35880,6,42,1938
ROCKMILLS-MP-125,ICI-MMG-54P,1,4.1,2006,5--,DUAL FUEL,#4,28744,Yes,2013,Elevator Apartments,85952,17,103,1925
ROCKMILLS-MP-125  (NEW),INDUSTRIAL COMBUSTION-MEG-54P (EXTG),2,4.1,2006,5--,DUAL FUEL,#6,36120,Yes,2019,Elevator Apartments,207304,20,52,1926
ROCKMILLS-MP-125 (NEW),HEV-E-OIL-6-CM (EXSTG),1,4.1,2006,5--,DUAL FUEL,#4,23762,No,0,Elevator Apartments,45000,6,59,1926
ROCKMILLS-MP-125 (NEW),IC-DEG-54P (NEW),1,4.18,2002,5—10,DUAL FUEL,#4,38325,Yes,2015,Walk-Up Apartments,58280,13,99,1931
ROCKMILLS-MP-150,INDUSTRIAL COMBUSTION-DEG-63P,1,6.3,2003,5—10,DUAL FUEL,#6,31810,Yes,2013,Elevator Apartments,75000,8,68,1959
ROCKMILLS-MP-150 (EXISTING),ICI DEG-63P,1,5,2007,5--,DUAL FUEL,#6,31810,Yes,2016,Elevator Apartments,80135,6,71,1931
ROCKMILLS-MP-175,HEVE(I.C.) DEG-84P,1,7.35,2002,5—10,DUAL FUEL,#6,51738,Yes,2022,Walk-Up Apartments,92580,6,80,1929
ROCKMILLS-MP-175SS (NEW),S.T.JOHNSON-FD-68CA200HM,2,7.35,2003,5—10,DUAL FUEL,#6,45990,Yes,2019,Elevator Apartments,155661,13,184,1963
ROCKMILLS-MP-200,S.T. JOHNSON FD68 CAHM 200 (NEW),1,6.69,2002,5—10,DUAL FUEL,#6,68985,Yes,2020,Walk-Up Apartments,267008,16,286,1959
ROCKMILLS-MP-250,IND COMB INC DEG-105P,1,9.3,1980,26—30,Not Dual,#6,50974,Yes,2016,Elevator Apartments,113653,9,16,1905
ROCKMILLS-MP-250 (NEW),S.T.JOHNSON FD68CA250HM (NEW),1,8.3,2003,5—10,DUAL FUEL,#6,56700,Yes,2019,Walk-Up Apartments,168555,25,2,1971
ROCKMILLS-MP-40 (NEW),ICI-MMG-22,1,13.3,2006,5--,DUAL FUEL,#4,9428,No,0,Office Buildings,20575,5,34,1901
ROCKMILLS-MP-50 (EXISTING),ICI-MMG-22 ,1,1.6,2007,5--,DUAL FUEL,#4,11115,No,0,Elevator Apartments,22333,4,26,1928
ROCKMILLS-MP-60 (EXISTING),ICI MMG-28 (NEW),1,2,2007,5--,DUAL FUEL,#4,14181,No,0,Walk-Up Apartments,25000,5,30,1925
ROCKMILLS-MP-80,ICI MMG 34P,1,3.4,1979,31—35,Not Dual,#6,85541,No,0,Walk-Up Apartments,32400,4,38,1924
ROCKMILLS-MP-80 (NEW),ICI-MEG-34P (NEW),2,2.6,2006,5--,DUAL FUEL,#6,23520,Yes,2021,Elevator Apartments,72000,10,43,1927
ROCKMILLS-MP100,IRON FIREMAN-A06-4.5,1,4.2,1974,36—40,Not Dual,#6,15330,Yes,2016,Elevator Apartments,57796,6,42,1926
ROCKMILLS-MP125-(NEW),ICI-DEG-54 (NEW),1,4.8,1985,21—26,Not Dual,#6,34748,Yes,2017,Walk-Up Apartments,63600,6,61,1923
ROCKMILLS-MP80,HEV-E-OIL-DEG-42P,1,3.8,1978,31—35,Not Dual,#6,27689,No,0,Elevator Apartments,36512,9,36,1912
ROCKMILLS-R-48,HEVEOIL AM4DH,1,1.5,1964,46—50,Not Dual,#4,11242,No,0,Walk-Up Apartments,9039,5,8,1900
ROCKMILLS#MP100,IRON FIREMAN#A0-6-4.5,1,4.2,1973,36—40,Not Dual,#6,30660,No,0,Walk-Up Apartments,48000,6,48,1931
ROCKMILLSMP-250,HEV-E-OIL DEG 105S,1,10.8,1980,26—30,DUAL FUEL,#6,157853,Yes,2022,Walk-Up Apartments,150429,14,140,1923
ROCKMILSS MP100,ICI MMG 42P,1,4.2,1990,16—20,Not Dual,#4,28000,No,0,Elevator Apartments,44993,5,52,1931
ROCKMOLLS MP-40,I.C.I. MMG 14,1,1.57,1992,16—20,Not Dual,#4,14000,No,0,Elevator Apartments,19404,3,29,1962
ROCKSMILLS MP 125,I.C.I. MMG-54P,1,4.76,1998,11—15,DUAL FUEL,#4,42924,Yes,2018,Elevator Apartments,75000,6,49,1939
ROCMILLS MP-90,HEVE  MMG-42 (P),1,3.7,1994,16—20,Not Dual,#4,26444,No,0,Elevator Apartments,36500,5,60,1933
RUTZLER    HRT,PETRO  WD 4  AH,1,5.71,1966,41—45,Not Dual,#4,21000,Yes,2019,Hospitals & Health,50234,11,6,1908
S.T.JOHNSON-FD-68CA200HM,(NEW) S.T. JOHNSON FD68 CAHM SIZE 300,2,8.85,2002,5—10,DUAL FUEL,#6,45990,Yes,2018,Walk-Up Apartments,147727,12,154,1968
SMITH TWIN TUBULAR C-84,PETRO WD5AH,1,4.2,1968,41—45,Not Dual,#4,28000,Yes,2019,Elevator Apartments,66050,12,13,1920
SMITH-TWIN  2-96,HEV-E-OIL   AM4DH,1,2.4,1972,36—40,Not Dual,#4,30811,No,0,Office Buildings,29580,5,34,1931
SPENCER    4F-180-45,HEVEOIL  AM 4 DH,1,2.4,1983,26—30,Not Dual,#4,18856,No,0,Elevator Apartments,10688,6,18,1910
SPENCER   93 A 4,HEVE (ICI) DEG-42 S,1,3.57,2000,5—10,DUAL FUEL,#6,25294,No,0,Elevator Apartments,48600,6,43,1924
SPENCER  5 M 85,INDUSTRIAL COMBUSTION  MMG-42 (P),1,4.2,1995,11—15,DUAL FUEL,#4,18992,Yes,2021,Office Buildings,75085,6,84,1951
SPENCER #9F-99345,HEAVE OIL DE84-S,2,8.2,1977,31—35,Not Dual,#4,56000,Yes,2019,Condominiums,72000,12,95,1915
SPENCER #FPC-4390A A.K.A.4F-675-NY,ICI DEG 84 P,1,6.27,1987,21—26,Not Dual,#6,51509,Yes,2016,Elevator Apartments,71000,6,70,1942
SPENCER 3-100-50,ICI  MM 42 P,1,3.35,2002,5—10,DUAL FUEL,#4,22225,No,0,Elevator Apartments,41010,6,57,1924
SPENCER 3-100-50,ICI MM42P,1,4.1,1984,26—30,Not Dual,#4,20706,Yes,2021,Elevator Apartments,253045,7,8,1929
SPENCER 3-100-50,ICI DE-42(P),1,4.2,1980,26—30,Not Dual,#6,37176,Yes,2018,Office Buildings,57000,6,55,1939
SPENCER 3-125-50,HEV-E DE 54 P,1,5.23,1980,26—30,Not Dual,#6,34492,No,0,Elevator Apartments,22615,5,25,1920
SPENCER 3-200-50,I.C.I.DEG-84P,2,8.4,1986,21—26,Not Dual,#4,44841,Yes,2014,Walk-Up Apartments,158081,14,123,1917
SPENCER 3M45,ICI AM4DH,1,1.6,1975,31—35,Not Dual,#4,10500,No,0,Elevator Apartments,24000,4,24,1923
SPENCER 4 FL -827-45,INDUSTRIAL COMBUSTION #DEG-84-P,2,6.2,1980,26—30,Not Dual,#6,103018,Yes,2020,Elevator Apartments,164073,21,196,1980
SPENCER 4-345,S T JOHNSON 50-A53H,1,2,1973,36—40,Not Dual,#4,16408,No,0,Elevator Apartments,16720,5,20,1930
SPENCER 4F -360 45,HEVEOIL AM5CM,1,3.4,1977,31—35,Not Dual,#4,31298,No,0,Elevator Apartments,47125,13,2,1920
SPENCER 4F 450,HEV E OIL AM6CM,1,4.7,1974,36—40,Not Dual,#4,28000,No,0,Elevator Apartments,42042,6,46,1926
SPENCER 4F 563-40,IND.COMB.  MMG 54 P,1,5.25,2000,5—10,DUAL FUEL,#4,40242,Yes,2021,Elevator Apartments,101808,8,45,1906
SPENCER 4F 563-50,I.C.I.MMG 54 P,2,4.7,1983,26—30,DUAL FUEL,#4,45863,Yes,2013,Elevator Apartments,84000,6,74,1923
SPENCER 4F 675 NY,HEV-E-OIL DE635,1,6.9,1975,31—35,Not Dual,#6,42000,Yes,2013,Office Buildings,101472,6,83,1927
SPENCER 4F-180-45,INDUSTRIAL COMB AM4DH,1,1.6,1979,31—35,Not Dual,#4,11446,No,0,Elevator Apartments,21750,5,25,1926
SPENCER 4F-227-45,HEV-E-OIL AM 4 3/4CM,1,2.6,1980,26—30,Not Dual,#4,18907,Yes,2014,Elevator Apartments,53800,2,1,1928
SPENCER 4F-311-50,HEVE AMG 4 3/4,1,2.6,1983,26—30,Not Dual,#4,17247,No,0,Elevator Apartments,23750,5,26,1925
SPENCER 4F-311-50,HEV-E-OIL AMG 4 3/4,1,2.6,1983,26—30,DUAL FUEL,#4,17716,No,0,Loft Buildings,23750,5,26,1931
SPENCER 4F-345-50,INDUSTRIAL COMBUSTION AM4 34,1,2.9,1977,31—35,Not Dual,#4,27300,No,0,Elevator Apartments,22240,2,1,1932
SPENCER 4F-450  NY,HEVEOIL  MMG-42 (P),1,3.7,1981,26—30,Not Dual,#4,27594,No,0,Walk-Up Apartments,40998,6,45,1924
SPENCER 4F-450-45,HEV-E-OIL AM6CM ( I.C.I. ),1,4.1,1976,31—35,Not Dual,#4,29638,Yes,2022,Elevator Apartments,50250,6,62,1922
